,genes
3257,TSEN54
3258,PCSK1N
3259,PODN
3260,RBM47
3261,GRIK4
3262,PADI2
3263,RCHY1
3264,ATAD2
3265,BMP6
3266,SARAF
3267,ATP2B1
3268,FHIT
3269,C20orf204
3270,PTPN13
3271,RNF41
3272,NME9
3273,ADARB2
3274,PPP2R5C
3275,LINC02217
3276,PZP
3277,COL6A1
3278,LEP
3279,ETNK1
3280,AURKC
3281,ADGRV1
3282,VGF
3283,DAB2IP
3284,RCAN3
3285,PKD1L1
3286,LINC00520
3287,STRBP
3288,VTA1
3289,IL2RG
3290,TECPR2
3291,MUC12
3292,BTG1
3293,SCN7A
3294,SH3BGRL3
3295,KIF2C
3296,SOX18
3297,ULBP1
3298,RUNX2
3299,ANK3
3300,GPR15
3301,PID1
3302,SMPDL3A
3303,LRP2BP
3304,CCND2
3305,SCML4
3306,FBXL2
3307,CCND3
3308,NRBF2
3309,SLC16A13
3310,LINC00402
3311,WNT3
3312,CHST12
3313,RTP5
3314,NR2F2
3315,CHMP1B
3316,KCNE5
3317,FLNA
3318,FSCN3
3319,MIR181A1HG
3320,OLMALINC
3321,PPP1R14B
3322,DDX3X
3323,KHDRBS3
3324,FXYD3
3325,POU5F1B
3326,COL5A3
3327,PDGFRB
3328,GPR25
3329,CYP2F1
3330,RGS9
3331,SLITRK5
3332,LEMD1-DT
3333,CCDC144A
3334,OSBP2
3335,ABRA
3336,LINC02422
3337,AKAP6
3338,TESPA1
3339,ADORA3
3340,ZNF583
3341,PTGER2
3342,DCST1
3343,BOK
3344,SPON1
3345,LINC00384
3346,HSD11B1
3347,DIRAS3
3348,PRR5
3349,ASH2L
3350,HK1
3351,DOT1L
3352,SMAD1
3353,LRRC28
3354,OSBPL8
3355,MKNK2
3356,LIM2
3357,MIR194-2HG
3358,EFNA1
3359,GNAI2
3360,SLC20A2
3361,GALNT4
3362,ST8SIA6
3363,SAP130
3364,GAS2L1
3365,BCAS1
3366,SIPA1L2
3367,TCEAL2
3368,CTSA
3369,KCNK13
3370,LEFTY1
3371,FGF13
3372,TPH1
3373,SKAP1
3374,STK40
3375,ITGB5
3376,PCNX4
3377,SLC4A4
3378,SYCE1L
3379,ANLN
3380,ABCB9
3381,HEXB
3382,APLP1
3383,RPLP2
3384,ADAMTS2
3385,DHRS2
3386,GRHL1
3387,ZBTB21
3388,PCDH1
3389,GALNT15
3390,LZTS1
3391,TMEM156
3392,TNK2
3393,CEP290
3394,GFI1
3395,SQSTM1
3396,ISG20
3397,LCK
3398,PPM1N
3399,AACS
3400,SLC24A3
3401,PRR7
3402,HLF
3403,LINC00239
3404,ABCB4
3405,SGO2
3406,STAP1
3407,ZNF664
3408,TALDO1
3409,LINC00895
3410,DOK2
3411,AGO3
3412,MAST2
3413,DUOX1
3414,CCR1
3415,HPD
3416,DUT
3417,SNX22
3418,PGF
3419,GSR
3420,NDFIP2
3421,PTPN7
3422,P2RY10
3423,IMPA1
3424,CLDND2
3425,LMOD3
3426,PPM1A
3427,SSX2IP
3428,DBNDD2
3429,LINC01973
3430,ERBB2
3431,UROD
3432,MYH11
3433,SLF1
3434,CCR8
3435,PRKCZ
3436,ATP13A2
3437,ZNF804A
3438,XPR1
3439,LPAR6
3440,FRMD4A
3441,TRPM8
3442,TYW5
3443,MACF1
3444,EHD3
3445,FGD4
3446,FGF9
3447,LINC02604
3448,ZBTB10
3449,METTL7A
3450,GPR160
3451,RASGEF1A
3452,HMGCS1
3453,ANKRD33B
3454,CCDC71L
3455,BEX5
3456,SLC10A5
3457,MLLT11
3458,NSG1
3459,JMY
3460,TFDP2
3461,KSR2
3462,HVCN1
3463,ITGA10
3464,GSTM1
3465,PLPP3
3466,OLFML2A
3467,LINC00944
3468,LINC02649
3469,CDS2
3470,SLC35A3
3471,SNHG9
3472,DNAAF2
3473,MOK
3474,TSPAN4
3475,GLIPR2
3476,SLC8A1
3477,PRDX2
3478,PRR5L
3479,LINC02245
3480,MSRB3
3481,LAPTM4B
3482,NXPH4
3483,TC2N
3484,CD84
3485,GPHN
3486,TAPT1
3487,ERV3-1
3488,OTUD7B
3489,ZNF844
3490,ARL4A
3491,TLR5
3492,GLRA3
3493,RASGRP3
3494,CTPS1
3495,TERF2IP
3496,LINC01644
3497,PDZD4
3498,NT5E
3499,DBNDD1
3500,AOAH
3501,DUSP8
3502,BTLA
3503,SLC6A6
3504,CAPN12
3505,PRELID2
3506,ZBTB43
3507,CYP51A1
3508,RASGRP1
3509,CSKMT
3510,GPR65
3511,KHDRBS2
3512,GASK1B
3513,TGFA
3514,SLTM
3515,CHRNA1
3516,CALY
3517,LCN8
3518,CCDC7
3519,CEACAM4
3520,CHL1
3521,HDAC4
3522,ST6GALNAC2
3523,AGAP1
3524,IRGM
3525,ATF5
3526,MINPP1
3527,KRT15
3528,TEAD2
3529,STK17A
3530,CAMK2N1
3531,TEX9
3532,TRIM9
3533,LARP4B
3534,EPHX4
3535,PNOC
3536,KATNBL1
3537,LINC02539
3538,RAB6B
3539,DHRS3
3540,SGO1
3541,CCPG1
3542,FUT7
3543,TPRG1-AS1
3544,PDE7B
3545,ACSL6
3546,SLC22A18AS
3547,ZBP1
3548,BBC3
3549,GATA3-AS1
3550,MX2
3551,PAPSS1
3552,HPN
3553,GDF11
3554,RSPH9
3555,SH3BP5
3556,PROC
3557,PKMYT1
3558,FMNL1
3559,BMP7
3560,NRIP3
3561,FOXO6
3562,CASS4
3563,ADAP1
3564,SEMA6B
3565,SLC43A2
3566,TRMU
3567,CCDC159
3568,ZNF224
3569,SUCNR1
3570,HDAC3
3571,DNAH7
3572,TMEM200A
3573,TRAPPC5
3574,NMI
3575,ENPP4
3576,IDS
3577,TTLL5
3578,SGMS1
3579,SYK
3580,BCL2
3581,ASTL
3582,BOLA2
3583,DOK3
3584,ABHD1
3585,HOXB2
3586,TMEM272
3587,CNN1
3588,CCDC34
3589,CHD2
3590,FAM184A
3591,SUB1
3592,OSBPL10
3593,IQCH
3594,BTN3A1
3595,NXF1
3596,IL21R
3597,SAV1
3598,ABI3
3599,TMEM44
3600,IRF2BPL
3601,HRH1
3602,NDRG1
3603,RAB33A
3604,SATB1
3605,SFXN1
3606,EEF1A2
3607,ZDHHC3
3608,SPOCD1
3609,RBFOX3
3610,SEMA5A
3611,SLC25A13
3612,KIF19
3613,SLC37A3
3614,JAKMIP1
3615,KIF23
3616,BICDL2
3617,TMED5
3618,SULT1A1
3619,IFNGR1
3620,TMPRSS11E
3621,RAP1B
3622,FAM161B
3623,LSR
3624,AEN
3625,BCL2L1
3626,PSD
3627,JAM3
3628,CHML
3629,THBS4
3630,SFN
3631,ZBED5
3632,RBPJ
3633,RRM1
3634,HEY2
3635,BNIP3
3636,MKNK1
3637,TBC1D30
3638,IQGAP1
3639,TNS1
3640,KCNA3
3641,ARSJ
3642,ALDH3B1
3643,UBASH3A
3644,MEFV
3645,BAIAP3
3646,GLI3
3647,FN3K
3648,SWAP70
3649,TOB2
3650,XPO7
3651,SLC23A1
3652,SLAMF6
3653,KIF5C
3654,TSPAN5
3655,PRNP
3656,MXRA7
3657,DRAXIN
3658,MYRIP
3659,FAM3D
3660,MT-ND4
3661,APTR
3662,PLCG1
3663,MIDN
3664,KIR3DL3
3665,CNKSR3
3666,MTG1
3667,CCDC152
3668,IRF7
3669,DPP4
3670,CRIP2
3671,SGCD
3672,RNF138
3673,EDARADD
3674,LINC02273
3675,DLG5
3676,ARHGAP1
3677,TGFB1
3678,DIP2C
3679,UPK3BL1
3680,SMIM8
3681,PARP8
3682,FAM120A
3683,NME8
3684,DNAJB6
3685,AHI1
3686,JAKMIP2
3687,ATG4B
3688,ATF7IP2
3689,LETM2
3690,GBA2
3691,TBC1D4
3692,MRPL1
3693,NUP58
3694,CLINT1
3695,CNIH2
3696,DCUN1D4
3697,FAM110A
3698,USP4
3699,RAF1
3700,ST6GALNAC6
3701,KRT2
3702,FAM83D
3703,PPP2R5A
3704,ESM1
3705,LTK
3706,MAPRE2
3707,GPR55
3708,ZFAND5
3709,GAS6
3710,HSH2D
3711,MAN2C1
3712,CBX7
3713,GREM2
3714,LINC00987
3715,HS3ST3B1
3716,NFATC4
3717,FAM53C
3718,CCDC73
3719,ENPP5
3720,PLXND1
3721,STX17
3722,RPGR
3723,NUCB2
3724,CAVIN1
3725,CYP4B1
3726,EIF4A1
3727,AGRP
3728,ADTRP
3729,HOXA7
3730,USP19
3731,OGFRL1
3732,LINC01550
3733,KMO
3734,FEN1
3735,ZNF236
3736,NET1
3737,COL24A1
3738,BAHD1
3739,MECP2
3740,KLF9
3741,SRPX
3742,METTL24
3743,MYO1E
3744,RSRP1
3745,PTPRK
3746,ASGR1
3747,FLT3LG
3748,ARRDC3
3749,LINC00937
3750,FAM110C
3751,MDS2
3752,CNN3
3753,STX1A
3754,GNB5
3755,SPDYC
3756,CNR2
3757,KYNU
3758,WNT11
3759,STXBP1
3760,CTRC
3761,HOXA9
3762,MAN2A2
3763,GLB1L2
3764,PTCH2
3765,CFAP73
3766,HSDL2
3767,GNAQ
3768,ELP1
3769,LBH
3770,GLCCI1
3771,PTGIR
3772,NEK10
3773,CACNA2D2
3774,RPS19
3775,SESN3
3776,ZNF519
3777,RECK
3778,PLAAT2
3779,SSTR3
3780,RNF125
3781,NSMCE1
3782,KCNK5
3783,CHRNA10
3784,ADAM19
3785,ROR1
3786,ORC6
3787,STK10
3788,HEXIM1
3789,CT70
3790,CBLL1
3791,CDH13
3792,PARP15
3793,CRADD
3794,TMEM203
3795,CKM
3796,PALM
3797,CTTNBP2
3798,SSH3
3799,AGO4
3800,CTSH
3801,FXYD2
3802,INSL3
3803,FAM182B
3804,SIN3A
3805,SLC25A30-AS1
3806,FSD1
3807,GBE1
3808,ARHGAP8
3809,GPM6B
3810,KIAA0319
3811,ARHGEF18
3812,SMAD4
3813,TTC32
3814,SNX18
3815,GAREM1
3816,NTRK2
3817,BEST1
3818,RAB37
3819,GPS2
3820,PHEX
3821,LRRC7
3822,ADAMTS10
3823,GPR141
3824,MRPS6
3825,ITPR2
3826,DAZAP2
3827,SLC14A1
3828,USP9Y
3829,REM2
3830,LIPC
3831,ESPN
3832,SLC2A6
3833,FMR1
3834,ASCC1
3835,NFIB
3836,RGS3
3837,CDKL2
3838,PAG1
3839,TMEM45B
3840,PDE3B
3841,STYK1
3842,NBPF20
3843,LILRA2
3844,KIZ
3845,RRAS2
3846,ERG
3847,VIL1
3848,MIB2
3849,ITGA5
3850,OSBPL5
3851,ZDHHC17
3852,P2RY11
3853,ARHGAP44
3854,PITPNM2
3855,IDH1
3856,MSMO1
3857,SLC44A1
3858,PELO
3859,STAM
3860,FAM13A
3861,NAA35
3862,GMNN
3863,KCNJ10
3864,PCOLCE
3865,LEXM
3866,LRRC43
3867,ALS2
3868,IRAK2
3869,TRAPPC11
3870,SETD1B
3871,MSL1
3872,HAPLN3
3873,GALNTL6
3874,SMAGP
3875,SMIM24
3876,ZNF165
3877,SLC35B2
3878,PLCH2
3879,LINC00221
3880,BEND4
3881,RNF19A
3882,CCNL2
3883,CDKN2C
3884,CRHBP
3885,HNMT
3886,PIP4P2
3887,ANKRD36
3888,EPS8
3889,NATD1
3890,KRTCAP3
3891,ZEB1
3892,EDN3
3893,BCL2L11
3894,WDR3
3895,VSTM1
3896,GNA13
3897,GAPT
3898,RINT1
3899,DAPP1
3900,GNAO1
3901,DUSP16
3902,ZNF571
3903,DGKE
3904,NEDD9
3905,RHEBL1
3906,ZFP91
3907,ADGRG6
3908,CYTH3
3909,NINJ2
3910,SLC7A7
3911,MTFP1
3912,MAST3
3913,SMURF2
3914,NFAM1
3915,TMEM35B
3916,KLB
3917,E2F1
3918,STRADB
3919,TCAP
3920,ZBTB38
3921,LINC01765
3922,LGALS9C
3923,MRPS24
3924,XAF1
3925,PLCXD2
3926,TGS1
3927,GOLGA8O
3928,ICAM4
3929,TNFSF8
3930,CDK6
3931,STARD3
3932,FLCN
3933,HSD17B2
3934,ABCC1
3935,ABI3BP
3936,KCTD10
3937,UHMK1
3938,TIGD4
3939,NPDC1
3940,NRXN1
3941,CLEC4G
3942,DNAJB9
3943,GREM1
3944,SLCO1A2
3945,LDHA
3946,APOBR
3947,UPF3B
3948,ITGAV
3949,PLXDC1
3950,CCR3
3951,NAP1L2
3952,KRT18
3953,HIP1
3954,SLC30A2
3955,MORN3
3956,HIC1
3957,SERP2
3958,HIPK2
3959,SOX8
3960,LRP10
3961,CDC14B
3962,TGFBR1
3963,LY6E
3964,NFATC2
3965,STMN3
3966,CREBRF
3967,SNX13
3968,AGBL2
3969,RNF10
3970,NEO1
3971,SYVN1
3972,LINC00342
3973,TET2
3974,LINC02562
3975,CCNF
3976,RAPGEF6
3977,LRRC70
3978,SEC14L2
3979,PTCH1
3980,ABCA9
3981,IPO8
3982,ASS1
3983,SMKR1
3984,LAMB1
3985,CCL25
3986,NSL1
3987,CYB561D1
3988,CLMP
3989,EPHB6
3990,ZKSCAN2-DT
3991,MAP3K11
3992,PTGIS
3993,FGD3
3994,ADPRHL1
3995,KCNAB1
3996,DSTYK
3997,QRSL1
3998,CD200R1
3999,DNAJC3-DT
4000,SPTLC2
4001,LAMB3
4002,PHACTR2
4003,ST6GALNAC3
4004,SHISA8
4005,CCDC137
4006,GMIP
4007,CYP19A1
4008,RCAN2
4009,TAF2
4010,LSP1
4011,RERE
4012,MANF
4013,RNF43
4014,SARDH
4015,PROS1
4016,PAWR
4017,IGF2BP2
4018,FLT4
4019,LINC02132
4020,ARHGEF39
4021,GPR174
4022,GRAMD2B
4023,HOXA3
4024,AVIL
4025,ZNF208
4026,TLE5
4027,WDR86
4028,AGPAT4
4029,STAT1
4030,CALCRL
4031,RAB43
4032,FXYD1
4033,MCM3
4034,WDR59
4035,SUPV3L1
4036,USP51
4037,AKR1C2
4038,CASP5
4039,S1PR2
4040,ZNF445
4041,DEPTOR
4042,ARPC4
4043,ITGB1-DT
4044,SYN3
4045,SLC22A15
4046,BRDT
4047,SCUBE1
4048,SERPINC1
4049,SEC61A2
4050,PITPNC1
4051,COLGALT2
4052,KCNAB2
4053,EPHA4
4054,PLPP1
4055,FHL3
4056,ADAD2
4057,ZNF793
4058,APOLD1
4059,ILF3-DT
4060,ABLIM1
4061,ACOT7
4062,TPD52
4063,ITFG1
4064,DCLRE1A
4065,CCDC88B
4066,CCDC65
4067,MND1
4068,CCNG2
4069,IGF2BP3
4070,LAMA5
4071,HTR2B
4072,LINC01215
4073,CYYR1
4074,AGBL5
4075,SLC10A1
4076,TGIF1
4077,GSC
4078,MXI1
4079,CD320
4080,MOB3A
4081,RPS2
4082,BORCS8
4083,LLGL2
4084,ZBTB32
4085,IFNL1
4086,DGKZ
4087,NTRK1
4088,SLC16A11
4089,SBK1
4090,ANKRD10
4091,UBN1
4092,CP
4093,SAMD4B
4094,GAK
4095,ST3GAL4
4096,GDI1
4097,RAI2
4098,UTS2B
4099,PCLO
4100,NMT2
4101,HAVCR1
4102,DNAH8
4103,TRIM25
4104,MTF1
4105,SYTL1
4106,PRRG2
4107,EIF4G3
4108,DRAM1
4109,FAM20A
4110,LINC01684
4111,PTGFRN
4112,ARL6IP1
4113,CDK5RAP2
4114,MBD6
4115,LINC02731
4116,SPATS2
4117,ZC3H11A
4118,DPF3
4119,SH2D3A
4120,RAD51AP1
4121,REXO2
4122,ZNF598
4123,LDHB
4124,MED12
4125,SORCS2
4126,PPFIA1
4127,RNF213
4128,UHRF2
4129,VIT
4130,BCAS4
4131,KLF14
4132,LIMS2
4133,SLC26A2
4134,HEATR9
4135,LAMA2
4136,TPST2
4137,SLC6A20
4138,GPR82
4139,EIF4E3
4140,XK
4141,CMKLR1
4142,MITF
4143,GIPR
4144,SPTB
4145,RPL36A
4146,LINC01970
4147,ARHGEF26
4148,FCHSD1
4149,RSPH3
4150,KPNA1
4151,FAS
4152,FPGS
4153,ERCC5
4154,GPAM
4155,CDK16
4156,ZNF829
4157,CENPK
4158,GPC3
4159,CASZ1
4160,CDHR2
4161,BFSP2
4162,ANXA2R
4163,FAM167B
4164,AFAP1L2
4165,MICU1
4166,MAP3K2-DT
4167,KCNQ3
4168,ARPC5
4169,ANKRD18A
4170,CFAP45
4171,RIPK2
4172,CD1D
4173,ZNF891
4174,VSTM2B
4175,E2F8
4176,REEP2
4177,ZNF143
4178,PTMA
4179,TRPC3
4180,NFKB2
4181,SLC35E3
4182,GNPDA1
4183,KDM6A
4184,NLRX1
4185,OLFML2B
4186,PRKCQ
4187,CRY1
4188,NETO2
4189,HERC2
4190,CTDP1
4191,HMCES
4192,KCNK6
4193,GPX2
4194,SPTBN4
4195,CARD11
4196,EPB41L2
4197,PNMA5
4198,ZNF600
4199,ZBTB20
4200,TAL2
4201,TWIST2
4202,DEPDC1B
4203,OPTN
4204,ASB2
4205,NAPB
4206,ZBTB7B
4207,AGTPBP1
4208,MAPK8IP3
4209,AFF2
4210,GCNT1
4211,SPATS2L
4212,PHGDH
4213,BFSP1
4214,OTOF
4215,FAM8A1
4216,ZNF667-AS1
4217,PTGDR2
4218,CHD9
4219,ARAP3
4220,LMCD1
4221,COL18A1
4222,E2F3
4223,EDAR
4224,NGFR
4225,SMG9
4226,UGT8
4227,RPL27A
4228,LINC01993
4229,ATP8A1
4230,DDX43
4231,PLVAP
4232,RASSF4
4233,PHIP
4234,MEG8
4235,ZNF365
4236,NKX3-1
4237,CFAP20
4238,CCDC171
4239,RGS20
4240,CALR
4241,SGPP2
4242,COL4A3
4243,GIMAP4
4244,DSCR9
4245,LINGO4
4246,LRIG1
4247,WDR74
4248,ETV1
4249,LMO2
4250,NCK2
4251,PDE7A
4252,POLG2
4253,RBP5
4254,IL17RD
4255,METTL22
4256,PLSCR1
4257,TVP23A
4258,TDRD15
4259,AXIN2
4260,MSC
4261,GPRIN3
4262,CYB561A3
4263,MAP2K1
4264,RMI2
4265,ZNF667
4266,ZDHHC23
4267,HIP1R
4268,S1PR3
4269,UBR2
4270,DNMT3B
4271,CDK5R1
4272,TRIB3
4273,APP
4274,CLCN5
4275,POLR2J2
4276,CNFN
4277,PLEKHB1
4278,SERPINB8
4279,ZNF281
4280,LDLRAP1
4281,SLC26A5
4282,SIDT1
4283,BEX2
4284,PLEKHO1
4285,PDXP
4286,SARM1
4287,ACVR2B
4288,TMED8
4289,ARHGEF12
4290,CNTN2
4291,ZNF827
4292,GRAMD1C
4293,RIC3
4294,KCNH8
4295,PALLD
4296,LXN
4297,SAG
4298,TMEM38A
4299,NDRG2
4300,LINC00309
4301,PTK2B
4302,PCAT1
4303,CRIM1
4304,BOD1L1
4305,LIX1-AS1
4306,TMX4
4307,NEK1
4308,PHF20L1
4309,MMUT
4310,FCHO2
4311,PACSIN2
4312,NUDT4
4313,HEG1
4314,MLLT3
4315,NR1D1
4316,SIRPA
4317,LCP2
4318,NUDT11
4319,TMEM171
4320,MAD2L2
4321,LILRB1
4322,PRSS22
4323,DTX3
4324,MFN2
4325,ADAMTS6
4326,CARNS1
4327,NEK9
4328,DBN1
4329,MGAT5
4330,LINC02696
4331,HOXB4
4332,LMBRD1
4333,CD244
4334,USP28
4335,LINC01686
4336,LYL1
4337,NPIPB11
4338,LINC02202
4339,ARNT2
4340,SLC8B1
4341,ADGRE3
4342,PLA2G4B
4343,MFN1
4344,RBM22
4345,SBSPON
4346,ZNF106
4347,LINC00623
4348,HNRNPA1L2
4349,CTNNAL1
4350,SYNE4
4351,CXXC4
4352,GALNT7
4353,TRAF5
4354,SYNJ2
4355,FBXO2
4356,RNF157
4357,AOC1
4358,LINC01725
4359,CHIC1
4360,PPP4R3A
4361,EBF4
4362,MDM1
4363,COL9A3
4364,ABLIM2
4365,LINC02325
4366,MICAL3
4367,CCNE2
4368,RAB3IP
4369,LINC01220
4370,DLGAP1
4371,ARAP2
4372,METTL8
4373,TCAF2
4374,ZCCHC18
4375,RALB
4376,ARID5A
4377,STX4
4378,CCDC146
4379,PRRG4
4380,PRRT1
4381,CCL28
4382,FALEC
4383,MS4A4E
4384,NLRC3
4385,AP4B1
4386,LINC02848
4387,IFT57
4388,PBXIP1
4389,CHAF1B
4390,RASAL1
4391,NIN
4392,ZNF778
4393,MAP1LC3B
4394,CACNA1A
4395,NIPAL4
4396,CD34
4397,ANP32A
4398,MRPL18
4399,MSH6
4400,SHANK3
4401,TBC1D8
4402,NOCT
4403,SYNGR2
4404,TNRC6C
4405,MOXD1
4406,RPAP2
4407,COL27A1
4408,JAK3
4409,PDE2A
4410,LINC00426
4411,C2CD4D
4412,MAP4K5
4413,TCEA3
4414,TTLL10
4415,SH3YL1
4416,AP3B2
4417,A4GALT
4418,KIF21B
4419,TMEM67
4420,MIR3142HG
4421,ZFYVE28
4422,TPT1
4423,CYFIP2
4424,SETBP1
4425,COL4A2
4426,TBXAS1
4427,TSPAN3
4428,FAM169A
4429,EVI5
4430,LY96
4431,PTPN3
4432,HOXA10
4433,LAP3
4434,SLC27A2
4435,CBX4
4436,LEPROTL1
4437,ATP8B2
4438,LINC00494
4439,FKBP7
4440,CLSTN3
4441,GHET1
4442,PICK1
4443,PPP1R15B
4444,DPH1
4445,CLDND1
4446,P2RY1
4447,ADAM9
4448,ME3
4449,SDHAF2
4450,ANKRD54
4451,ARVCF
4452,CHFR
4453,ATP2B4
4454,RCL1
4455,CTH
4456,SPDYE3
4457,SREK1
4458,PRCD
4459,FAM166B
4460,GDF7
4461,LINC00298
4462,MED31
4463,SNTG2
4464,SPDYA
4465,ST6GALNAC1
4466,RPS15A
4467,GOLGA6L9
4468,LINC00954
4469,LINC02754
4470,CARMIL3
4471,NOG
4472,NUP210L
4473,ASAP2
4474,PKHD1L1
4475,TTC22
4476,FAM217B
4477,TESC
4478,NPR3
4479,PLEKHA1
4480,RAB11FIP1
4481,P2RX5-TAX1BP3
4482,LINC02288
4483,ZNF853
4484,PIWIL2
4485,CCDC28B
4486,SMIM22
4487,RSU1
4488,ATAD5
4489,LPCAT1
4490,MSI2
4491,ZNF117
4492,SLC26A6
4493,ZNF92
4494,CHCHD6
4495,NCEH1
4496,WNT10A
4497,TSACC
4498,AGL
4499,ELOVL4
4500,PILRB
4501,GLIPR1L2
4502,SVIP
4503,MYBPC2
4504,SLC2A14
4505,FKBP1A
4506,SAMMSON
4507,TOPBP1
4508,ZBTB48
4509,COL4A4
4510,LINC01588
4511,ARHGEF25
4512,NR5A2
4513,ZNF490
4514,L1CAM
4515,ADAMTS5
4516,PPP1R3D
4517,KIAA1671
4518,ZNF860
4519,HAP1
4520,PDK3
4521,CMSS1
4522,BRAP
4523,ARHGAP12
4524,CLEC11A
4525,RANBP10
4526,SMCHD1
4527,RPS6KA5
4528,SPN
4529,KL
4530,LINC02739
4531,SHTN1
4532,TTK
4533,CERNA1
4534,SENP2
4535,SYCP3
4536,PTPN12
4537,ATP11A
4538,RAD51
4539,MAT2A
4540,TMEM30B
4541,PM20D1
4542,ITM2B
4543,RAB3D
4544,SLC16A1
4545,BEST4
4546,MEX3C
4547,CCR5
4548,FBF1
4549,SYT1
4550,WWC1
4551,LEAP2
4552,COBL
4553,SLC30A4
4554,SYNGR1
4555,PLEKHH2
4556,PRKD2
4557,NMU
4558,MYH9
4559,PLA2G12A
4560,HMGN5
4561,FURIN
4562,TBC1D32
4563,GXYLT1
4564,RALGDS
4565,ZNF584
4566,APBB1
4567,PRICKLE1
4568,ITLN1
4569,DDR2
4570,HLA-DOA
4571,TPBG
4572,MYO1G
4573,CNP
4574,HOXB3
4575,SYBU
4576,LINGO3
4577,TNFRSF11A
4578,GLS2
4579,FANCD2
4580,RNPC3
4581,CD99L2
4582,SGSM1
4583,PLEKHG6
4584,TACC3
4585,PLEKHA5
4586,AGO2
4587,MAPK6
4588,UBE2J1
4589,PLXNA4
4590,RUSC2
4591,ZBED6
4592,CCAR1
4593,MAP3K20
4594,CLEC16A
4595,EVPL
4596,RNASE4
4597,EXPH5
4598,STARD9
4599,LINC00243
4600,SYT5
4601,ZNF727
4602,DUSP14
4603,RILPL2
4604,GM2A
4605,PRSS3
4606,CNOT6L
4607,INTS5
4608,MTERF2
4609,TM4SF19
4610,ZNF627
4611,HELB
4612,CAST
4613,RPS8
4614,EML4
4615,MYD88
4616,WFDC1
4617,S100A2
4618,REG4
4619,LINC02086
4620,CALHM5
4621,FOXD2
4622,PPP2R3A
4623,SYCE1
4624,GPRASP1
4625,ANKRD31
4626,CENPL
4627,NEB
4628,ADCY3
4629,STARD4
4630,EMP3
4631,TAF11
4632,CMIP
4633,MIA
4634,PLCL1
4635,APEX2
4636,FRMPD3
4637,PIAS2
4638,B3GAT2
4639,FAM222A
4640,SCN2A
4641,SRXN1
4642,ARRB2
4643,ZFR2
4644,FLT3
4645,GSAP
4646,TMPRSS3
4647,ZC3H6
4648,P3H4
4649,ATP7A
4650,OBSCN
4651,LRRC2
4652,ZNF711
4653,SP140
4654,ARPC1B
4655,FGF18
4656,PAM
4657,EVA1C
4658,CDC42BPG
4659,HSPA4L
4660,MLXIPL
4661,PPP4R1
4662,PPM1K-DT
4663,KDM4B
4664,SCYL2
4665,TRIM17
4666,ABCC4
4667,NUAK2
4668,SH2B3
4669,EMILIN2
4670,OLFM2
4671,LINC02328
4672,ZNF346
4673,RAB36
4674,OXT
4675,FZD3
4676,ATG9A
4677,RHBDD2
4678,VAV3
4679,ZNF611
4680,RPL22L1
4681,ADHFE1
4682,TP53INP2
4683,NLRC4
4684,ITGAL
4685,CHRNA5
4686,CSNK1E
4687,GPR132
4688,PLAAT3
4689,LIMCH1
4690,RXRA
4691,ADGRG5
4692,AP1S3
4693,SYNPO2
4694,ANKHD1-EIF4EBP3
4695,DNAJC5B
4696,LINC02218
4697,ZNF277
4698,KLHL4
4699,LINC00910
4700,TMEM71
4701,FAM161A
4702,YTHDF3
4703,RRBP1
4704,STX19
4705,GBP4
4706,FOSL1
4707,NFIA
4708,GLI1
4709,GCNA
4710,VAT1
4711,TBPL1
4712,LRRFIP2
4713,TNNT3
4714,MYO16
4715,NDUFA4L2
4716,TNR
4717,WWC3
4718,BIN2
4719,LINC01465
4720,ZNF107
4721,JADE3
4722,PRPS2
4723,SPEF2
4724,EPHX2
4725,DLL3
4726,LINC01685
4727,HSPA12A
4728,ANKDD1B
4729,TNS2
4730,USP44
4731,PAK6
4732,SERHL2
4733,FAM219A
4734,ZBTB17
4735,B3GNT2
4736,PYCARD
4737,RNF145
4738,NUPR2
4739,VSIG8
4740,RFX2
4741,PLCE1
4742,RBBP8
4743,RNF212
4744,CAP1
4745,TBC1D19
4746,PAK3
4747,PDE4DIP
4748,PPP1R10
4749,RLN2
4750,BSPRY
4751,TMEM192
4752,COG6
4753,GTF2H5
4754,HMHB1
4755,PVT1
4756,STRADA
4757,KCND3
4758,DNHD1
4759,DLG3
4760,PROZ
4761,PDZD8
4762,ZNF462
4763,LNX1
4764,FMNL2
4765,SDR42E2
4766,GIMAP6
4767,OTUD7A
4768,RNASEH2A
4769,GDF10
4770,HCG27
4771,DRC7
4772,IGFLR1
4773,CERCAM
4774,TBC1D3D
4775,CA8
4776,SNX25
4777,RAD9A
4778,SCPEP1
4779,SLC44A3
4780,LINC01597
4781,TARS2
4782,RASGRF2
4783,GPI
4784,TNFRSF21
4785,KDM2B-DT
4786,CTBP2
4787,ERFE
4788,MRTFA
4789,GIMAP2
4790,PART1
4791,TAF4B
4792,MEOX1
4793,FOXO1
4794,ERVK3-1
4795,PFN1
4796,PHLDB1
4797,SEPTIN11
4798,S1PR4
4799,PCDHGA5
4800,GOLGA8R
4801,SNCG
4802,CASP3
4803,ABHD3
4804,MAP7D3
4805,SCIMP
4806,ST6GAL1
4807,PCDHGB6
4808,TBKBP1
4809,NUGGC
4810,GPR137C
4811,CARHSP1
4812,KIF3A
4813,ULBP3
4814,KCNQ1
