,genes
519,ADM
520,FCER1G
521,PLIN2
522,SFTPB
523,CFD
524,PPIF
525,CD83
526,TMCC2
527,TNFSF15
528,ACSM3
529,TRDV2
530,KEL
531,SLC11A1
532,RHOB
533,TRIM58
534,TRAV23DV6
535,RGS2
536,DNASE1L3
537,IL2
538,HSPD1
539,STEAP4
540,CEACAM3
541,NFKBIZ
542,MXD1
543,TRAV19
544,TRAV12-3
545,BCL6
546,GDF15
547,IL4
548,CNRIP1
549,GPR183
550,CLEC9A
551,TNNI3
552,A2M
553,CES1
554,IGFBP6
555,CA3
556,MARCKS
557,TRAV29DV5
558,CTLA4
559,ZCCHC12
560,OSM
561,KLRF1
562,MAFA
563,PLIN5
564,GSN
565,C5AR1
566,HLA-DQB1
567,TPX2
568,ZFAND2A
569,TNNC1
570,GCHFR
571,LTB
572,KLF2
573,NBEAL2
574,PTTG1
575,CD7
576,LINC02195
577,TPM2
578,PPP1R15A
579,MS4A6A
580,HSPE1
581,CXCL11
582,CXCR1
583,KRT86
584,RAB27B
585,IL1R1
586,KLF6
587,CYSTM1
588,TRAV26-2
589,NIBAN1
590,GLUL
591,S100A4
592,INSIG1
593,CYP1B1
594,NR4A2
595,CEACAM1
596,CCNB2
597,MME
598,ACTA1
599,LGALS2
600,IL12B
601,ID3
602,CTTN
603,FFAR2
604,MELTF
605,CRIP1
606,TNFRSF4
607,CYP27A1
608,LGALS1
609,ADGRG3
610,GATA1
611,ALDOB
612,LRRK2
613,IFNB1
614,TRBC1
615,CDA
616,CYB5D2
617,PRSS2
618,TRGC2
619,TRAV16
620,VEGFA
621,PLK1
622,KLRC2
623,PHLDA1
624,LRG1
625,HES4
626,SPIC
627,LTBP1
628,P2RX1
629,APLP2
630,TRIM63
631,IL1A
632,IER2
633,NR4A1
634,ITGAM
635,KLF4
636,XPO6
637,HMMR
638,EGR4
639,CXCL14
640,NR4A3
641,LINC01781
642,GEM
643,CD8A
644,RP2
645,FGL2
646,HMGN2
647,PYGL
648,MYLK
649,PDGFA
650,GADD45B
651,SYNE2
652,GADD45A
653,PEG10
654,PRSS57
655,CCDC80
656,CRTAM
657,GYS1
658,ACTN1
659,IRAK3
660,GRN
661,RPL17
662,HES1
663,CSAD
664,PSAP
665,ESAM
666,CLEC12A
667,ITGAX
668,PRDM5
669,CD8B
670,TREM2
671,BEND2
672,HOPX
673,LINC01857
674,AQP10
675,IL2RB
676,VNN1
677,CREM
678,CKAP4
679,IL18RAP
680,TRAV17
681,SAMSN1
682,KCNJ15
683,IFI30
684,CYBB
685,TRIB1
686,CD160
687,PFKFB2
688,HLA-DQA2
689,ZNF331
690,TRAV2
691,CXCL16
692,TKTL1
693,ABCA7
694,LINC02446
695,DLK1
696,AURKB
697,TREM1
698,TSC22D3
699,TNFRSF10C
700,MFAP5
701,TRAV26-1
702,MAP2K3
703,NIBAN3
704,AKR1C1
705,LAG3
706,ALOX12
707,IL5RA
708,SYNE1
709,KIR2DL1
710,KIR3DL1
711,TMIGD3
712,CEBPB
713,ALOX15B
714,SLC7A11
715,SUGCT
716,GADD45G
717,SGK1
718,CXCR4
719,CCNB1
720,AP5B1
721,BANK1
722,SCT
723,ASPH
724,CD63
725,LAIR2
726,FAM193B
727,TRDV3
728,UGCG
729,APOA1
730,TRGV2
731,ACOD1
732,PLAU
733,ARPP21
734,CD36
735,PLBD1
736,MAF
737,COL1A1
738,ATP6V0A1
739,AMN
740,ATP2C2
741,DYSF
742,TFPI
743,TCIRG1
744,KLRK1
745,SLC2A3
746,HBEGF
747,TMSB4X
748,SELP
749,TNFRSF9
750,EGFL7
751,LY6G6F
752,VWA5A
753,HTRA1
754,HSPA8
755,PDZK1IP1
756,MUCL1
757,C1R
758,CR1
759,LPO
760,TRAV13-2
761,VIM
762,PMEL
763,ATP2A3
764,SLCO2B1
765,CLEC4E
766,FCGR2A
767,LINC00926
768,CITED2
769,TNFSF14
770,TGFB1I1
771,SLC1A2
772,KIAA1549
773,ANKRD22
774,LIPA
775,LINC02076
776,ABL2
777,BAZ2B
778,CD247
779,DNAAF1
780,SLC5A3
781,IGF1R
782,HOMER3
783,CSTB
784,LITAF
785,NFE2
786,ABHD5
787,LILRB5
788,TRAC
789,VMO1
790,PFKFB3
791,ID2
792,MYB
793,SORL1
794,KDM5B
795,HGD
796,DNAJA1
797,TMEM52B
798,PRH1
799,IFIT3
800,HSPA5
801,TRH
802,ANKRD34B
803,TNFRSF17
804,HRH2
805,RETREG3
806,RNF175
807,FCER2
808,NPTX2
809,TRAV8-2
810,ICAM1
811,UHRF1
812,PDLIM7
813,MIR3945HG
814,GK
815,HEY1
816,TPM1
817,NEXN
818,MYL4
819,PRUNE2
