,feature_name
CUL7,CUL7
RBPMS2,RBPMS2
CAMP,CAMP
GLDC,GLDC
INPP1,INPP1
LINC00907,LINC00907
BUB1,BUB1
NSUN7,NSUN7
POGLUT2,POGLUT2
WDR25,WDR25
CNRIP1,CNRIP1
INTS14,INTS14
LIF,LIF
CRYBA4,CRYBA4
HOXA6,HOXA6
TPM1,TPM1
KRT81,KRT81
STAB1,STAB1
IRGM,IRGM
ZNF441,ZNF441
PKD1L1,PKD1L1
TRAV26-2,TRAV26-2
AKR1B1,AKR1B1
KLRC2,KLRC2
TTLL3,TTLL3
TRIP4,TRIP4
TXK,TXK
B3GNT7,B3GNT7
AMOT,AMOT
CYP19A1,CYP19A1
IL1RL2,IL1RL2
ISG15,ISG15
TNFSF13,TNFSF13
FAIM2,FAIM2
ZNF829,ZNF829
GLDN,GLDN
LINC02604,LINC02604
MIPEP,MIPEP
IGHV1-2,IGHV1-2
SIRPG,SIRPG
MAMDC2,MAMDC2
MYBL1,MYBL1
EGOT,EGOT
TRBV7-9,TRBV7-9
HEATR4,HEATR4
MLXIPL,MLXIPL
INCA1,INCA1
DONSON,DONSON
PTGDR2,PTGDR2
CYBB,CYBB
FANCL,FANCL
TIMP1,TIMP1
DIRAS3,DIRAS3
INPPL1,INPPL1
PHLPP1,PHLPP1
RNF157,RNF157
MAP3K6,MAP3K6
BOK,BOK
WASIR2,WASIR2
BRICD5,BRICD5
ABCC2,ABCC2
CGREF1,CGREF1
GMEB2,GMEB2
IGLV3-1,IGLV3-1
OLMALINC,OLMALINC
RSPH14,RSPH14
ANKRD54,ANKRD54
RNF227,RNF227
LUCAT1,LUCAT1
ZNF727,ZNF727
VCL,VCL
LINC00402,LINC00402
NUDT11,NUDT11
ZNF443,ZNF443
SPRED2,SPRED2
CX3CR1,CX3CR1
LINC00656,LINC00656
CLCF1,CLCF1
NR4A3,NR4A3
EXTL2,EXTL2
IGLV1-51,IGLV1-51
PDLIM1,PDLIM1
APOBEC3A,APOBEC3A
EIF4ENIF1,EIF4ENIF1
TLR4,TLR4
FANCI,FANCI
MAP1LC3B2,MAP1LC3B2
CSTF2,CSTF2
ZNF571,ZNF571
MMP1,MMP1
ZNF202,ZNF202
SMYD3,SMYD3
BBS12,BBS12
SCGB3A1,SCGB3A1
PODXL,PODXL
LINC00598,LINC00598
COL5A1,COL5A1
CENPU,CENPU
SPEG,SPEG
ASPN,ASPN
OGFRP1,OGFRP1
CRELD1,CRELD1
IL4I1,IL4I1
ANKRD22,ANKRD22
SIGMAR1,SIGMAR1
HES6,HES6
CNTF,CNTF
TMEM262,TMEM262
XIRP2,XIRP2
IGSF11,IGSF11
A2M,A2M
EDC4,EDC4
PTGDS,PTGDS
CRB1,CRB1
AIFM2,AIFM2
ZXDB,ZXDB
TGM2,TGM2
TRIP13,TRIP13
KBTBD6,KBTBD6
LINC01725,LINC01725
SMARCA1,SMARCA1
RBFOX2,RBFOX2
PTPN20,PTPN20
SLC25A37,SLC25A37
BSPRY,BSPRY
ACP5,ACP5
CAPN11,CAPN11
PTGES,PTGES
ABHD6,ABHD6
INKA1,INKA1
LRWD1,LRWD1
BRI3,BRI3
CCDC78,CCDC78
TMEM158,TMEM158
GUCA1B,GUCA1B
TMEM140,TMEM140
ALS2CL,ALS2CL
EPHX3,EPHX3
MASP2,MASP2
CALCRL,CALCRL
LINC01933,LINC01933
DNAJB4,DNAJB4
PLPPR2,PLPPR2
DEPDC7,DEPDC7
TUT1,TUT1
ACTR5,ACTR5
APOE,APOE
HSPD1,HSPD1
NAP1L5,NAP1L5
TMEM171,TMEM171
PLD2,PLD2
ZNF347,ZNF347
SNAP91,SNAP91
SNCA,SNCA
FBXO38,FBXO38
TRDC,TRDC
LIPA,LIPA
ZC3H12B,ZC3H12B
SLC39A14,SLC39A14
RFC5,RFC5
PTPN7,PTPN7
ALOX15B,ALOX15B
ATF3,ATF3
LINC02021,LINC02021
AK9,AK9
FALEC,FALEC
RAD51,RAD51
PAK6,PAK6
SLC15A2,SLC15A2
HYKK,HYKK
AFAP1L2,AFAP1L2
TUBD1,TUBD1
ACVR1,ACVR1
AQP9,AQP9
IL12A,IL12A
TUBG1,TUBG1
HBG1,HBG1
CTNS,CTNS
TRBV2,TRBV2
ZGPAT,ZGPAT
ANXA5,ANXA5
CTSG,CTSG
EPHX4,EPHX4
PTPRO,PTPRO
MEF2B,MEF2B
SEMA5A,SEMA5A
ZFR2,ZFR2
ZNF823,ZNF823
ZNF616,ZNF616
ITGA10,ITGA10
ATP2A1,ATP2A1
SPRED3,SPRED3
COG7,COG7
CALCB,CALCB
EFEMP2,EFEMP2
NIPA1,NIPA1
ETV7,ETV7
RNF215,RNF215
KRT86,KRT86
SDS,SDS
DNA2,DNA2
ZNF497,ZNF497
TRBV5-6,TRBV5-6
CASS4,CASS4
MZB1,MZB1
B4GALNT4,B4GALNT4
METTL27,METTL27
CPT1C,CPT1C
CXCR1,CXCR1
LINC02615,LINC02615
SAMD11,SAMD11
TMEM35B,TMEM35B
GPD1,GPD1
ZNF442,ZNF442
UBOX5,UBOX5
GAS2L3,GAS2L3
WHRN,WHRN
ITGA5,ITGA5
CRYGD,CRYGD
TRAV25,TRAV25
RNF150,RNF150
POLH,POLH
STARD13,STARD13
CERS5,CERS5
STYK1,STYK1
ZNF585B,ZNF585B
SLC26A2,SLC26A2
GPNMB,GPNMB
MT3,MT3
CELSR3,CELSR3
TEX14,TEX14
TNFSF14,TNFSF14
MICALL1,MICALL1
CFH,CFH
MLANA,MLANA
TRAV6,TRAV6
RAB33A,RAB33A
RHEBL1,RHEBL1
S100A11,S100A11
RETN,RETN
SPIC,SPIC
EDN1,EDN1
DYRK3,DYRK3
GARNL3,GARNL3
ZNF19,ZNF19
RASD1,RASD1
C1QA,C1QA
CEP97,CEP97
CD276,CD276
RMI2,RMI2
RHBDF2,RHBDF2
ARHGEF39,ARHGEF39
SCML2,SCML2
ADGRE2,ADGRE2
ZNF385D,ZNF385D
CDK7,CDK7
STARD9,STARD9
TMIGD3,TMIGD3
CEBPE,CEBPE
MYEOV,MYEOV
RIMKLB,RIMKLB
NUDT17,NUDT17
RCVRN,RCVRN
LINC02539,LINC02539
AAR2,AAR2
NINL,NINL
FFAR2,FFAR2
LRRC32,LRRC32
PFKP,PFKP
CYTH4,CYTH4
CA3,CA3
CCNF,CCNF
LRRC75B,LRRC75B
CCDC9,CCDC9
PRSS27,PRSS27
PIPOX,PIPOX
FCGR2B,FCGR2B
MMACHC,MMACHC
DPF3,DPF3
UTS2,UTS2
GNL2,GNL2
