,feature_name
PKIA-AS1,PKIA-AS1
IGHG4,IGHG4
TSHR,TSHR
LRRN1,LRRN1
LEAP2,LEAP2
BCAN,BCAN
CERKL,CERKL
RNLS,RNLS
SLC48A1,SLC48A1
SIGLEC6,SIGLEC6
CHMP4C,CHMP4C
TFPI,TFPI
KIAA0825,KIAA0825
RASGEF1B,RASGEF1B
LINC00544,LINC00544
TRIP6,TRIP6
ZNF30,ZNF30
KLB,KLB
MCTP1,MCTP1
KLHL41,KLHL41
PIGQ,PIGQ
IGKV3-20,IGKV3-20
ANKRD34B,ANKRD34B
MTUS1,MTUS1
PLXNB1,PLXNB1
PLEKHN1,PLEKHN1
RBM11,RBM11
ZNF841,ZNF841
SNX33,SNX33
KANK1,KANK1
CCN2,CCN2
ADA,ADA
JUNB,JUNB
TRBV14,TRBV14
FAM222A,FAM222A
IATPR,IATPR
LEP,LEP
ANKRD23,ANKRD23
STIL,STIL
ESR1,ESR1
ZNF879,ZNF879
RHOB,RHOB
PBX1,PBX1
TMEM52,TMEM52
DNAH6,DNAH6
COTL1,COTL1
TRAV24,TRAV24
ERP27,ERP27
SLC23A1,SLC23A1
ATG9B,ATG9B
NIPAL1,NIPAL1
SLC47A1,SLC47A1
LSMEM2,LSMEM2
KCNK13,KCNK13
JAM2,JAM2
SHQ1,SHQ1
ATG16L2,ATG16L2
CNTD1,CNTD1
ZG16B,ZG16B
METTL7B,METTL7B
MS4A1,MS4A1
CD14,CD14
DACH1,DACH1
TFB1M,TFB1M
NABP1,NABP1
NTNG2,NTNG2
MT1G,MT1G
LRRC1,LRRC1
CTPS2,CTPS2
ANKDD1A,ANKDD1A
LINC01560,LINC01560
VPS16,VPS16
MFAP4,MFAP4
RFX8,RFX8
POMT2,POMT2
LRRC49,LRRC49
DCLK2,DCLK2
SH2D4A,SH2D4A
DPH1,DPH1
LINC02471,LINC02471
FMNL2,FMNL2
LINC02265,LINC02265
CSF3R,CSF3R
TMPRSS3,TMPRSS3
CD79A,CD79A
UPRT,UPRT
OSCP1,OSCP1
KDELR3,KDELR3
IL1A,IL1A
PPOX,PPOX
SOAT2,SOAT2
WWOX,WWOX
MCC,MCC
PACRGL,PACRGL
POMT1,POMT1
PACRG,PACRG
PLCXD2,PLCXD2
ADGRV1,ADGRV1
EIF4A3,EIF4A3
BAIAP2L2,BAIAP2L2
SLIT1,SLIT1
HMCN2,HMCN2
CCDC142,CCDC142
CPVL,CPVL
FOLR2,FOLR2
CACNA1F,CACNA1F
LINC02763,LINC02763
TBX19,TBX19
TRAV8-2,TRAV8-2
RAB44,RAB44
APOBEC3F,APOBEC3F
ALKBH8,ALKBH8
ZNF552,ZNF552
SLC4A3,SLC4A3
LINC00910,LINC00910
ZNF235,ZNF235
SPATA25,SPATA25
IVNS1ABP,IVNS1ABP
B3GNT4,B3GNT4
ALDOC,ALDOC
AICDA,AICDA
ROBO1,ROBO1
C1QTNF1,C1QTNF1
INTU,INTU
TRBV20-1,TRBV20-1
FCGR3A,FCGR3A
HDHD3,HDHD3
CLIC5,CLIC5
CFAP45,CFAP45
CCL18,CCL18
ZCCHC18,ZCCHC18
LAIR2,LAIR2
ZNF543,ZNF543
LINC01572,LINC01572
CD2,CD2
USP9Y,USP9Y
ANKRD62,ANKRD62
SLC25A17,SLC25A17
TEAD3,TEAD3
POMZP3,POMZP3
FNDC5,FNDC5
DGKI,DGKI
AIF1,AIF1
EDNRB,EDNRB
ROBO4,ROBO4
SLC9A5,SLC9A5
BVES,BVES
LINC02828,LINC02828
SETD9,SETD9
LINC02542,LINC02542
ARFGEF3,ARFGEF3
TCP11L1,TCP11L1
TTLL7,TTLL7
MPDZ,MPDZ
MYO18B,MYO18B
MVD,MVD
IGKV2D-29,IGKV2D-29
KCNH8,KCNH8
LARGE1,LARGE1
PNMT,PNMT
EGR3,EGR3
NLRC5,NLRC5
DEFB1,DEFB1
MYO15B,MYO15B
SAMD10,SAMD10
TRBV6-6,TRBV6-6
TGFB3,TGFB3
EVA1C,EVA1C
CERNA1,CERNA1
NKX3-1,NKX3-1
GPRASP2,GPRASP2
MYOM1,MYOM1
HPD,HPD
IQGAP3,IQGAP3
RAD54L,RAD54L
KRBA1,KRBA1
HBG2,HBG2
HGH1,HGH1
FMO5,FMO5
PGD,PGD
CCSER1,CCSER1
PIGB,PIGB
NAMPT,NAMPT
CLIC6,CLIC6
PTGER4,PTGER4
DUSP1,DUSP1
SIRT4,SIRT4
NBEA,NBEA
KCNC4,KCNC4
COLEC12,COLEC12
PLEKHH1,PLEKHH1
BANK1,BANK1
UTP4,UTP4
SPATA9,SPATA9
LINC00630,LINC00630
FCSK,FCSK
TRBV13,TRBV13
DNAH12,DNAH12
FOLR3,FOLR3
TAF1A,TAF1A
EMP2,EMP2
HLA-DRB5,HLA-DRB5
CHSY1,CHSY1
TPX2,TPX2
IPO11,IPO11
TRIP10,TRIP10
KLHL25,KLHL25
LDHAL6A,LDHAL6A
IL1RN,IL1RN
FAHD2B,FAHD2B
FSCN3,FSCN3
EMID1,EMID1
ZNF670,ZNF670
FKRP,FKRP
ATP6AP1L,ATP6AP1L
HSD3B7,HSD3B7
EFNA4,EFNA4
DIPK1B,DIPK1B
ALG1L2,ALG1L2
FBLN2,FBLN2
FCGBP,FCGBP
TAL2,TAL2
XBP1,XBP1
LY6G6F,LY6G6F
FAM178B,FAM178B
TNNC2,TNNC2
SPAG5,SPAG5
STX4,STX4
COL9A1,COL9A1
ACSM5,ACSM5
IGSF9,IGSF9
SPTBN4,SPTBN4
ZNF433,ZNF433
GTF2E1,GTF2E1
C1QC,C1QC
NEXN,NEXN
DARS2,DARS2
NKD1,NKD1
TMOD1,TMOD1
ITGA9,ITGA9
PPP1R14A,PPP1R14A
KIT,KIT
TRGV5,TRGV5
ZNF565,ZNF565
SVOPL,SVOPL
PGA5,PGA5
TFAP2E,TFAP2E
KIR2DL4,KIR2DL4
S100B,S100B
GRB10,GRB10
SPTBN5,SPTBN5
CLEC12A-AS1,CLEC12A-AS1
ARL9,ARL9
ALKBH3,ALKBH3
COL4A3,COL4A3
MGAM,MGAM
NDEL1,NDEL1
MET,MET
DTNA,DTNA
PXYLP1,PXYLP1
SCGB3A2,SCGB3A2
EVA1A,EVA1A
ADCY6,ADCY6
GPR19,GPR19
PAIP2B,PAIP2B
SEC22A,SEC22A
KCTD1,KCTD1
CADM2,CADM2
POMGNT2,POMGNT2
ATP8A2,ATP8A2
CCM2L,CCM2L
APOBEC3H,APOBEC3H
NT5DC3,NT5DC3
PPP2R3A,PPP2R3A
CD160,CD160
REXO5,REXO5
TIMP3,TIMP3
IFIT1B,IFIT1B
TRDV2,TRDV2
ROR2,ROR2
MAG,MAG
PDE5A,PDE5A
TEX12,TEX12
TUBA1A,TUBA1A
B3GNT8,B3GNT8
DOCK6,DOCK6
KANK2,KANK2
AMPD2,AMPD2
SHLD3,SHLD3
CRADD,CRADD
IL18R1,IL18R1
IGKV3-15,IGKV3-15
SPDYE5,SPDYE5
LILRB5,LILRB5
MPP2,MPP2
TMSB15A,TMSB15A
IGLV5-45,IGLV5-45
CHI3L2,CHI3L2
TRGV4,TRGV4
TMEM94,TMEM94
SHANK2,SHANK2
DDIT4L,DDIT4L
AMY2B,AMY2B
BBS10,BBS10
ATP2B1-AS1,ATP2B1-AS1
UCP3,UCP3
TCL1B,TCL1B
TTC30A,TTC30A
SLC17A3,SLC17A3
ARC,ARC
S100A4,S100A4
DZANK1,DZANK1
MAP2K3,MAP2K3
GGT5,GGT5
IGLL1,IGLL1
ALKBH1,ALKBH1
SPDYE1,SPDYE1
GK,GK
KCTD14,KCTD14
SLC10A7,SLC10A7
LINC01023,LINC01023
CSAD,CSAD
LRRC36,LRRC36
RPH3A,RPH3A
MEX3B,MEX3B
SCRN3,SCRN3
CREM,CREM
FTSJ3,FTSJ3
TSPYL4,TSPYL4
BTBD8,BTBD8
NRGN,NRGN
RASL11B,RASL11B
STEAP4,STEAP4
IGHV3-53,IGHV3-53
MMP2-AS1,MMP2-AS1
MSC,MSC
RC3H1,RC3H1
PCDH9,PCDH9
ZFP69,ZFP69
LINC02804,LINC02804
POLQ,POLQ
HECTD2,HECTD2
ADGRG6,ADGRG6
JADE3,JADE3
HJURP,HJURP
ITGAD,ITGAD
ZNF200,ZNF200
CSF1,CSF1
DMXL2,DMXL2
B3GLCT,B3GLCT
CYP4B1,CYP4B1
EPOR,EPOR
ANKS1B,ANKS1B
IGKV1D-13,IGKV1D-13
CDHR1,CDHR1
FLT4,FLT4
EFCAB10,EFCAB10
CCL20,CCL20
IGHV4-31,IGHV4-31
FAM166B,FAM166B
COL4A2,COL4A2
SLC6A13,SLC6A13
FUT10,FUT10
SIRT3,SIRT3
CD247,CD247
ADAT3,ADAT3
CNR1,CNR1
NAGS,NAGS
PLK2,PLK2
SEMA3D,SEMA3D
TRIM32,TRIM32
SMCR2,SMCR2
EVC2,EVC2
PRSS8,PRSS8
LILRA4,LILRA4
NPPC,NPPC
ALPL,ALPL
SLC6A8,SLC6A8
ZFYVE1,ZFYVE1
TCHH,TCHH
MT-CO1,MT-CO1
EFNA1,EFNA1
MFSD2B,MFSD2B
FCGRT,FCGRT
CELSR2,CELSR2
GJC1,GJC1
RTL8B,RTL8B
IGFBP2,IGFBP2
PACC1,PACC1
LAMB1,LAMB1
TNS1,TNS1
JMJD7-PLA2G4B,JMJD7-PLA2G4B
KANTR,KANTR
LIMCH1,LIMCH1
RHOBTB3,RHOBTB3
LRRK2,LRRK2
SLC29A1,SLC29A1
MEG3,MEG3
MYL4,MYL4
KCP,KCP
PCBP3,PCBP3
IL2RA,IL2RA
STAP2,STAP2
LINC02705,LINC02705
WEE1,WEE1
DYNC1I1,DYNC1I1
RBM4B,RBM4B
RIPOR3,RIPOR3
ARNT2,ARNT2
GNAZ,GNAZ
FHL2,FHL2
TUBA8,TUBA8
ARL4C,ARL4C
TCF7,TCF7
HSPA1B,HSPA1B
LRRC2,LRRC2
LINC02029,LINC02029
AGAP1,AGAP1
SLC16A13,SLC16A13
SLFN11,SLFN11
MYO10,MYO10
PRSS57,PRSS57
CPNE7,CPNE7
ADPRHL1,ADPRHL1
VWA5A,VWA5A
NDC1,NDC1
LIM2,LIM2
PDGFA,PDGFA
ALDOA,ALDOA
GPAT4,GPAT4
IGKV3-11,IGKV3-11
MMP21,MMP21
CFAP58,CFAP58
ARPP21,ARPP21
VEPH1,VEPH1
SULT2B1,SULT2B1
ESPN,ESPN
ZWILCH,ZWILCH
PMAIP1,PMAIP1
IGKV1-16,IGKV1-16
IGHE,IGHE
ANLN,ANLN
PRDM8,PRDM8
ARRDC5,ARRDC5
LDB2,LDB2
AGAP4,AGAP4
L2HGDH,L2HGDH
TCEANC,TCEANC
KLF5,KLF5
PAN2,PAN2
SLC9B2,SLC9B2
ATG2A,ATG2A
TRAV8-6,TRAV8-6
IL1R1,IL1R1
ZNF595,ZNF595
FLACC1,FLACC1
ZNF366,ZNF366
IL18RAP,IL18RAP
TMEM229B,TMEM229B
CDH5,CDH5
RASL10A,RASL10A
CDH13,CDH13
DOK6,DOK6
CDA,CDA
TTTY14,TTTY14
SNAI1,SNAI1
SOX4,SOX4
DLEC1,DLEC1
MPP3,MPP3
TIGIT,TIGIT
IGHV4-59,IGHV4-59
NAALADL2,NAALADL2
FILIP1L,FILIP1L
TRMT12,TRMT12
CENPL,CENPL
MMS22L,MMS22L
MICALL2,MICALL2
RUSC2,RUSC2
AURKB,AURKB
RGL3,RGL3
TGFB2,TGFB2
TRAV26-1,TRAV26-1
CAMKK1,CAMKK1
XCL2,XCL2
KCNJ10,KCNJ10
HMGN4,HMGN4
C2CD6,C2CD6
DNAAF1,DNAAF1
KIF24,KIF24
ZNF236,ZNF236
LPIN3,LPIN3
TRIB1,TRIB1
PEX11G,PEX11G
PLEK,PLEK
SLIT2,SLIT2
RET,RET
METTL24,METTL24
SPTBN2,SPTBN2
SLC22A23,SLC22A23
TCF4,TCF4
STOM,STOM
ADM,ADM
LMAN2L,LMAN2L
AKAP3,AKAP3
NCS1,NCS1
TOR1B,TOR1B
RASIP1,RASIP1
TLR6,TLR6
HSPB9,HSPB9
PRKG2,PRKG2
METTL18,METTL18
TMEM150C,TMEM150C
PGRMC1,PGRMC1
SLC15A4,SLC15A4
BICC1,BICC1
ZFP3,ZFP3
PDE1C,PDE1C
SCARA5,SCARA5
AK4,AK4
CXADR,CXADR
MORC1,MORC1
FBLN5,FBLN5
AP3B2,AP3B2
MAP3K7CL,MAP3K7CL
RDH10,RDH10
MYO1E,MYO1E
LIME1,LIME1
FGFRL1,FGFRL1
ALG9,ALG9
TSPAN15,TSPAN15
S100A9,S100A9
SYT2,SYT2
NGFR,NGFR
PFN2,PFN2
SH3D21,SH3D21
CRABP2,CRABP2
TPRG1,TPRG1
MTSS1,MTSS1
CD36,CD36
SAA1,SAA1
TNFRSF9,TNFRSF9
SMG9,SMG9
SOCS2,SOCS2
RGS6,RGS6
ANKRD55,ANKRD55
TMEM67,TMEM67
IGKV4-1,IGKV4-1
EYS,EYS
MME,MME
INPP5E,INPP5E
DSCC1,DSCC1
SUV39H1,SUV39H1
LIMS1,LIMS1
CHRNA5,CHRNA5
TMEM44,TMEM44
GRTP1,GRTP1
SLC20A2,SLC20A2
ZNF799,ZNF799
NTRK1,NTRK1
ARMCX2,ARMCX2
DKK3,DKK3
ADGRG5,ADGRG5
PIWIL4,PIWIL4
CDHR3,CDHR3
MIR3945HG,MIR3945HG
SLC1A2,SLC1A2
SYCP3,SYCP3
KIFC3,KIFC3
GDF7,GDF7
GRID2IP,GRID2IP
ZNF786,ZNF786
RAB3C,RAB3C
MSR1,MSR1
P2RY6,P2RY6
URB2,URB2
BMP6,BMP6
CLEC10A,CLEC10A
TPCN2,TPCN2
CACNA1A,CACNA1A
METTL14-DT,METTL14-DT
PROM1,PROM1
PRELID3A,PRELID3A
UBA7,UBA7
HSPA8,HSPA8
BEND6,BEND6
GPR84,GPR84
CSPG5,CSPG5
KCTD2,KCTD2
HIPK4,HIPK4
NEK8,NEK8
NAB2,NAB2
TSSK3,TSSK3
ZFP30,ZFP30
FDXR,FDXR
HMGCR,HMGCR
KRBOX4,KRBOX4
LAYN,LAYN
KCTD15,KCTD15
GPR153,GPR153
IGHV3-30,IGHV3-30
SLC25A15,SLC25A15
OR52N4,OR52N4
TUBB4A,TUBB4A
BLVRB,BLVRB
RNASE1,RNASE1
MORN1,MORN1
FAM186B,FAM186B
NIBAN3,NIBAN3
PLEKHA5,PLEKHA5
LINC02381,LINC02381
ZNF850,ZNF850
RGL4,RGL4
GALM,GALM
PTGS1,PTGS1
CDKL1,CDKL1
UBAP1L,UBAP1L
VSTM4,VSTM4
KLHL35,KLHL35
TLE1,TLE1
AMPD3,AMPD3
ZNF471,ZNF471
TMEM25,TMEM25
LAMB2,LAMB2
LINC01366,LINC01366
HAMP,HAMP
RCN3,RCN3
DNER,DNER
MOCS1,MOCS1
ZNF79,ZNF79
ADRB2,ADRB2
SKA3,SKA3
SETD6,SETD6
MMP2,MMP2
MAOA,MAOA
MANEAL,MANEAL
MADCAM1,MADCAM1
ZNF540,ZNF540
GAREM1,GAREM1
NOL6,NOL6
TNNI3,TNNI3
CD300E,CD300E
DAPL1,DAPL1
TRAV27,TRAV27
FAM193B,FAM193B
MAFB,MAFB
LINC00654,LINC00654
SH3TC2,SH3TC2
IGSF3,IGSF3
CD274,CD274
GPER1,GPER1
GLTPD2,GLTPD2
KLHDC9,KLHDC9
GPR176-DT,GPR176-DT
LINC00996,LINC00996
KLF8,KLF8
RINT1,RINT1
PF4V1,PF4V1
CYP2D6,CYP2D6
GPRC5C,GPRC5C
METAP1D,METAP1D
CPAMD8,CPAMD8
NOS3,NOS3
TMEM217,TMEM217
CXCL1,CXCL1
TAGLN,TAGLN
ADAMTS1,ADAMTS1
TBC1D23,TBC1D23
CHI3L1,CHI3L1
ZNF45,ZNF45
WDR35,WDR35
TMPRSS5,TMPRSS5
HSPA12A,HSPA12A
FAM153A,FAM153A
ZBTB17,ZBTB17
MT-ATP6,MT-ATP6
KCNMB4,KCNMB4
CLU,CLU
TMED6,TMED6
USP54,USP54
GPA33,GPA33
VWF,VWF
SLC30A4,SLC30A4
WDR59,WDR59
MYO5B,MYO5B
NCKAP5,NCKAP5
SAMD13,SAMD13
ENTHD1,ENTHD1
SLFN14,SLFN14
OCRL,OCRL
ITGAV,ITGAV
PLEKHH2,PLEKHH2
IGLC2,IGLC2
GYPB,GYPB
LINC01122,LINC01122
CACNB3,CACNB3
ZNF568,ZNF568
TUFT1,TUFT1
CACNB1,CACNB1
GLIPR1L1,GLIPR1L1
GRB14,GRB14
MON1A,MON1A
DPY19L2,DPY19L2
PMCH,PMCH
LINC01353,LINC01353
TMEM201,TMEM201
CREB3L1,CREB3L1
GPC4,GPC4
TRBV7-3,TRBV7-3
PLCD1,PLCD1
WDR93,WDR93
TRAV8-4,TRAV8-4
LINC00299,LINC00299
TSPAN10,TSPAN10
MAFF,MAFF
CXCR6,CXCR6
LINC00638,LINC00638
AXDND1,AXDND1
ZNF547,ZNF547
HLCS,HLCS
SYT12,SYT12
ZNF416,ZNF416
RACGAP1,RACGAP1
IRS2,IRS2
MYH10,MYH10
EGR2,EGR2
PRKN,PRKN
DDX43,DDX43
ALDH2,ALDH2
APBB3,APBB3
SAT1,SAT1
SFXN2,SFXN2
ART4,ART4
VLDLR,VLDLR
TREM2,TREM2
TRBV6-5,TRBV6-5
CDC42BPA,CDC42BPA
LDAH,LDAH
KATNAL2,KATNAL2
PADI4,PADI4
ZSCAN23,ZSCAN23
MEST,MEST
P3H3,P3H3
LIN37,LIN37
MAP7D2,MAP7D2
ZNF18,ZNF18
FCGR2A,FCGR2A
TSPYL2,TSPYL2
RWDD2A,RWDD2A
MARCO,MARCO
ZNF219,ZNF219
DTX1,DTX1
STOML1,STOML1
FRY,FRY
EGFL7,EGFL7
CHTF18,CHTF18
ASB14,ASB14
IGLC7,IGLC7
RECQL4,RECQL4
CD63,CD63
GORASP1,GORASP1
ANKRD10,ANKRD10
LINC01252,LINC01252
TRAV12-2,TRAV12-2
CIT,CIT
DHCR7,DHCR7
CEACAM1,CEACAM1
SIX4,SIX4
SGCD,SGCD
SPATA32,SPATA32
FLRT2,FLRT2
ULBP1,ULBP1
PRUNE2,PRUNE2
CCR3,CCR3
LINC01765,LINC01765
RAI2,RAI2
CDC20,CDC20
SLC2A5,SLC2A5
SCN3A,SCN3A
LETM2,LETM2
NTRK3,NTRK3
TCN2,TCN2
ACVR2A,ACVR2A
VILL,VILL
SLC35G2,SLC35G2
CUX2,CUX2
MS4A14,MS4A14
RNASE3,RNASE3
CHRNA10,CHRNA10
ULK1,ULK1
CCDC169,CCDC169
ANGPTL4,ANGPTL4
CXCR4,CXCR4
DEPDC1B,DEPDC1B
CHN1,CHN1
RAB7B,RAB7B
BAIAP3,BAIAP3
PGBD1,PGBD1
CST3,CST3
LIPT1,LIPT1
UNC5CL,UNC5CL
HES1,HES1
KIAA0408,KIAA0408
FAM161A,FAM161A
LTBP2,LTBP2
DCST2,DCST2
HSD17B8,HSD17B8
LINC02739,LINC02739
TMEM79,TMEM79
LPAR3,LPAR3
STXBP6,STXBP6
SLC22A16,SLC22A16
MARK1,MARK1
ZNF473,ZNF473
GSDME,GSDME
LINC00545,LINC00545
IQCN,IQCN
EPM2A,EPM2A
KCNMA1,KCNMA1
DZIP1L,DZIP1L
CDYL2,CDYL2
OMD,OMD
TLDC2,TLDC2
PHKA2,PHKA2
KDF1,KDF1
LINC01871,LINC01871
SUOX,SUOX
LINC01315,LINC01315
ENO2,ENO2
SLC2A8,SLC2A8
DOCK4,DOCK4
TRBV25-1,TRBV25-1
TBC1D19,TBC1D19
CFAP46,CFAP46
TUBE1,TUBE1
SRSF12,SRSF12
SLC4A4,SLC4A4
TRAV29DV5,TRAV29DV5
EFHD1,EFHD1
UTP15,UTP15
IGKV2-24,IGKV2-24
FYCO1,FYCO1
LINC02798,LINC02798
CCN3,CCN3
HSF2BP,HSF2BP
ITGA11,ITGA11
ITGB1BP2,ITGB1BP2
QPCTL,QPCTL
KCNA2,KCNA2
MSANTD1,MSANTD1
HOMER3,HOMER3
NUDT6,NUDT6
NFKBIA,NFKBIA
ZNF362,ZNF362
CCDC81,CCDC81
SPACA9,SPACA9
TMPRSS9,TMPRSS9
BCORL1,BCORL1
SERPINI2,SERPINI2
TEF,TEF
PM20D1,PM20D1
LHFPL4,LHFPL4
PLIN4,PLIN4
CMYA5,CMYA5
CCR4,CCR4
GPR75,GPR75
MCMDC2,MCMDC2
NT5M,NT5M
CD7,CD7
USP40,USP40
TLCD1,TLCD1
MBOAT4,MBOAT4
TRIM35,TRIM35
APC2,APC2
DSC2,DSC2
KLHL17,KLHL17
TRBV30,TRBV30
SLC10A4,SLC10A4
ACACB,ACACB
EFCAB5,EFCAB5
PKN3,PKN3
ZNF584,ZNF584
DDX59-AS1,DDX59-AS1
NR4A1,NR4A1
CCDC157,CCDC157
ITGB3,ITGB3
SEC14L2,SEC14L2
WLS,WLS
ATAD2B,ATAD2B
PTPRG,PTPRG
SUN3,SUN3
KLRC3,KLRC3
NEDD4L,NEDD4L
GZMH,GZMH
ZNF14,ZNF14
KRT18,KRT18
REPS2,REPS2
OTUD3,OTUD3
ZSWIM3,ZSWIM3
EGLN3,EGLN3
PRX,PRX
LINC02340,LINC02340
MELK,MELK
ZNF346,ZNF346
CD44,CD44
TRGV10,TRGV10
SLC43A3,SLC43A3
EEF1AKMT3,EEF1AKMT3
BCL9,BCL9
GFOD2,GFOD2
DNAI2,DNAI2
IDO1,IDO1
HHIPL2,HHIPL2
FNDC9,FNDC9
ADAMTSL5,ADAMTSL5
ZNF283,ZNF283
ZNF17,ZNF17
CLDN9,CLDN9
PSD,PSD
MEIS3,MEIS3
COL6A2,COL6A2
SEMA6B,SEMA6B
L3MBTL4,L3MBTL4
CISH,CISH
GREB1L,GREB1L
LINC01801,LINC01801
NFS1,NFS1
ZNF208,ZNF208
KLHL31,KLHL31
FBLN1,FBLN1
S100A12,S100A12
LINC02019,LINC02019
CD40LG,CD40LG
NR4A2,NR4A2
DNAJA1,DNAJA1
BTBD19,BTBD19
SEPSECS,SEPSECS
CLEC16A,CLEC16A
PCDH17,PCDH17
PIP4K2C,PIP4K2C
SYNE2,SYNE2
MYH3,MYH3
TRIM62,TRIM62
TRMT5,TRMT5
FGR,FGR
VSIG10L,VSIG10L
TOB1,TOB1
AREL1,AREL1
SHBG,SHBG
THEM5,THEM5
FAM47E,FAM47E
LINC00384,LINC00384
WNT11,WNT11
ASB9,ASB9
ERBB3,ERBB3
LINC00092,LINC00092
BASP1,BASP1
LAMB3,LAMB3
ZNF674,ZNF674
CRNDE,CRNDE
TTLL9,TTLL9
HMGB2,HMGB2
SLC11A1,SLC11A1
P2RX7,P2RX7
FOXM1,FOXM1
CYB5RL,CYB5RL
PCDHGC3,PCDHGC3
GPRC5A,GPRC5A
CCDC3,CCDC3
SEMA4A,SEMA4A
PROS1,PROS1
LHX1,LHX1
PLAU,PLAU
SPX,SPX
CAV1,CAV1
ITGB1-DT,ITGB1-DT
KIAA1671,KIAA1671
PARP16,PARP16
ZDHHC19,ZDHHC19
CHRM5,CHRM5
LPO,LPO
PRTN3,PRTN3
HP,HP
HDAC11,HDAC11
LINC02257,LINC02257
ANXA3,ANXA3
PCAT1,PCAT1
IL11RA,IL11RA
SMAD9,SMAD9
MIR34AHG,MIR34AHG
MAGI2,MAGI2
SPATA2L,SPATA2L
CKM,CKM
FAM234B,FAM234B
ZNF20,ZNF20
TMEM260,TMEM260
LINC02803,LINC02803
MECR,MECR
ST3GAL5-AS1,ST3GAL5-AS1
IQCH,IQCH
DCHS2,DCHS2
BCAT1,BCAT1
DERL3,DERL3
VWDE,VWDE
IGHV6-1,IGHV6-1
LTBP4,LTBP4
CA2,CA2
CLEC4C,CLEC4C
LINC00426,LINC00426
FAM111B,FAM111B
SLC2A9,SLC2A9
NAP1L3,NAP1L3
UGCG,UGCG
RAB26,RAB26
THNSL1,THNSL1
IRAK2,IRAK2
OR52H1,OR52H1
NAV2,NAV2
NEAT1,NEAT1
CD1B,CD1B
ZDHHC18,ZDHHC18
ODF3L1,ODF3L1
ZNF75D,ZNF75D
GFAP,GFAP
B3GNT5,B3GNT5
SDC2,SDC2
PTGER3,PTGER3
BORA,BORA
CSTB,CSTB
FGD5,FGD5
CERCAM,CERCAM
AGBL3,AGBL3
SRGAP3,SRGAP3
ATAD3C,ATAD3C
SMPD3,SMPD3
NADK2,NADK2
TCEAL1,TCEAL1
IGKV1-5,IGKV1-5
ABCA3,ABCA3
KCNH2,KCNH2
FANCD2,FANCD2
MMRN2,MMRN2
EPPK1,EPPK1
ZNF671,ZNF671
EME1,EME1
CCDC38,CCDC38
SAMSN1,SAMSN1
TMEM244,TMEM244
LINC00513,LINC00513
ZNF559,ZNF559
CTSZ,CTSZ
SH3RF3,SH3RF3
SHOX2,SHOX2
NUP62CL,NUP62CL
WNT16,WNT16
ZSCAN26,ZSCAN26
ZNF570,ZNF570
PRMT5,PRMT5
LINC00240,LINC00240
GRN,GRN
CYP2E1,CYP2E1
LINC00987,LINC00987
APBB1,APBB1
HSD17B6,HSD17B6
AVIL,AVIL
NEMP2,NEMP2
TCAP,TCAP
LINC02648,LINC02648
FAM114A1,FAM114A1
MFSD4A,MFSD4A
IGLV1-47,IGLV1-47
CRAMP1,CRAMP1
NNAT,NNAT
ZNF69,ZNF69
UNC13A,UNC13A
ASPM,ASPM
KRT72,KRT72
ADARB2,ADARB2
EPB41L5,EPB41L5
EFCAB8,EFCAB8
ZNF691,ZNF691
SLC24A3,SLC24A3
NFKB1,NFKB1
PROX2,PROX2
TRBV23-1,TRBV23-1
CLK1,CLK1
WNT5A,WNT5A
LZTS2,LZTS2
RGS2,RGS2
CTHRC1,CTHRC1
SPINK2,SPINK2
RPS17,RPS17
AVPI1,AVPI1
MYBPC3,MYBPC3
CMTM4,CMTM4
CLIC3,CLIC3
PAM,PAM
VWA3B,VWA3B
TRBV18,TRBV18
ABHD5,ABHD5
FOSL1,FOSL1
HLA-DRA,HLA-DRA
TKTL1,TKTL1
TBCCD1,TBCCD1
CES1,CES1
MIR3681HG,MIR3681HG
IFT172,IFT172
ACOT11,ACOT11
RMDN2,RMDN2
ERICD,ERICD
SLC22A4,SLC22A4
SNAPC1,SNAPC1
TOX2,TOX2
TRAV2,TRAV2
CTSK,CTSK
ATRNL1,ATRNL1
DDX60L,DDX60L
TRAC,TRAC
LINC00671,LINC00671
PCDHGB6,PCDHGB6
IGKV1-39,IGKV1-39
HBA2,HBA2
CLEC1A,CLEC1A
PLPP6,PLPP6
TMC1,TMC1
COMP,COMP
MATN2,MATN2
DUSP4,DUSP4
BEX1,BEX1
SLC28A3,SLC28A3
TECTA,TECTA
TAFA2,TAFA2
IFITM2,IFITM2
SRR,SRR
TOMM20L,TOMM20L
GBE1,GBE1
ZNF426-DT,ZNF426-DT
PLA2G2D,PLA2G2D
P3H4,P3H4
LPAR2,LPAR2
LINC02754,LINC02754
KRT73,KRT73
CFAP20,CFAP20
PRKCZ,PRKCZ
SDC3,SDC3
TULP3,TULP3
RFX2,RFX2
TIGD3,TIGD3
DNAJA4,DNAJA4
LBHD1,LBHD1
SELENOP,SELENOP
SLC25A14,SLC25A14
GZMB,GZMB
TF,TF
SH3D19,SH3D19
VPREB3,VPREB3
LINC02362,LINC02362
IGLV3-25,IGLV3-25
ARAP1,ARAP1
ZFP28,ZFP28
PRDM15,PRDM15
PLEKHA4,PLEKHA4
FANK1,FANK1
KALRN,KALRN
DHX35,DHX35
NAIF1,NAIF1
TGFA,TGFA
PRKCG,PRKCG
RASL11A,RASL11A
